Month,Temperature (deg C)
Jan-09,15.7
Feb-09,20.2
Mar-09,18.6
Apr-09,21.3
May-09,25.3
Jun-09,28.2
Jul-09,30.1
Aug-09,29.8
Sep-09,29
Oct-09,24.3
Nov-09,21.5
Dec-09,17.2
Jan-10,16.9
Feb-10,17.6
Mar-10,20
Apr-10,20.7
May-10,25.5
Jun-10,26.2
Jul-10,30.3
Aug-10,30
Sep-10,28.8
Oct-10,24.4
Nov-10,21.1
Dec-10,17.5
Jan-11,13.7
Feb-11,16.9
Mar-11,16.2
Apr-11,21.7
May-11,24.7
Jun-11,29
Jul-11,29.7
Aug-11,29.6
Sep-11,27.6
Oct-11,24.1
Nov-11,22.9
Dec-11,16.7
Jan-12,15.9
Feb-12,16.3
Mar-12,18.7
Apr-12,23.1
May-12,25.9
Jun-12,27.8
Jul-12,30.6
Aug-12,29.2
Sep-12,27.3
Oct-12,24.1
Nov-12,21.2
Dec-12,17.8
Jan-13,16.7
Feb-13,18.8
Mar-13,19.9
Apr-13,21.1
May-13,26
Jun-13,29.2
Jul-13,29.5
Aug-13,29.6
Sep-13,27.9
Oct-13,24.2
Nov-13,21.2
Dec-13,16.4
Jan-14,16.8
Feb-14,16.5
Mar-14,18.9
Apr-14,22.5
May-14,25.2
Jun-14,28
Jul-14,30.5
Aug-14,30.2
Sep-14,29.7
Oct-14,24.7
Nov-14,22.3
Dec-14,16.5
Jan-15,16.7
Feb-15,17.3
Mar-15,18.9
Apr-15,22.7
May-15,26.1
Jun-15,30
Jul-15,30
Aug-15,28.6
Sep-15,27.4
Oct-15,25.2
Nov-15,23.5
Dec-15,18.9
Jan-16,16.2
Feb-16,15.5
Mar-16,17.5
Apr-16,24
May-16,27.1
Jun-16,29.4
Jul-16,30.3
Aug-16,30.1
Sep-16,27.8
Oct-16,27
Nov-16,22.6
Dec-16,20.1
Jan-17,18.3
Feb-17,17
Mar-17,18.2
Apr-17,22.5
May-17,25.6
Jun-17,28
Jul-17,30.3
Aug-17,31.1
Sep-17,29.6
Oct-17,25.6
Nov-17,22.5
Dec-17,17.8
Jan-18,16.9
Feb-18,15.6
Mar-18,20.6
Apr-18,23.5
May-18,28.2
Jun-18,28.5
Jul-18,30.3
Aug-18,29.5
Sep-18,28.2
Oct-18,23.3
Nov-18,22.7
Dec-18,19.5
Jan-19,18.5
Feb-19,18.8
Mar-19,19.8
Apr-19,24.2
May-19,25
Jun-19,28.5
Jul-19,30.3
Aug-19,30.5
Sep-19,27.3
Oct-19,25.3
Nov-19,22
Dec-19,19.1
Jan-20,17.9
Feb-20,18.7
Mar-20,20.8
Apr-20,20.9
May-20,26.9
Jun-20,30.5
Jul-20,30.9
Aug-20,30.2
Sep-20,27.8
Oct-20,24.5
Nov-20,23.3
Dec-20,18.1
